objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,Teams,Players,People,Positions,Plays,Leagues,Games,Medium,Relation,Publisher,Coverage
coll001,1922_04_12_NYEW.pdf,,,TO-DAY'S THE DAY,Thornton Fisher,1922-04-12,"This cartoon depicts the excitement, hope, and hype baseball fans have for the first games of 1922.",Opening Day; Polo Grounds; Concessions; Spring Training; Baseball; Major League Baseball; 1922 Major League Baseball Season,,,,New York Evening World,1922.04.12.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,New York Giants; Brooklyn Robins; New York Yankees,,Harry Mozley Stevens,,,National League; American League,,Cartoon,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-04-12/ed-1/seq-22/,Chronicling America (Library of Congress),1922 Major League Baseball Opening Day
coll002,1922_04_13_NYEW.pdf,,,AT THE OPENING YESTERDAY,Thornton Fisher,1922-04-13,"Thornton Fisher recounts what happened at the opening day game at the Polo Grounds in New York City between the Brooklyn Robins and the New York Giants, including a few memorable plays. The Robins beat the Giants 4-3. This loss was demoralizing as the Giants had were the reigning champions after they won the 1921 World Series.",Opening Day; Polo Grounds; Baseball; Major League Baseball; 1922 Major League Baseball Season,,,,New York Evening World,1922.04.13.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,New York Giants; Brooklyn Robins,Irish Meusel; Ralph Shinners; Dutch Ruether,,Outfielder; Starting Pitcher; Pitcher,Home Run; Run; Offense; Fly Out; Out; Defense; Line Out; Pitching,National League,1922-04-12 BRO @ NYG,Cartoon,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-04-13/ed-1/seq-22/,Chronicling America (Library of Congress),1922 Major League Baseball Opening Day
coll003,1922_04_15_NYEW.pdf,,,THE FIRST FEW DAYS,Thornton Fisher,1922-04-15,This cartoon considers the standings after the first few games of the season. Cartoonist Thornton Fisher ponders the Philadelphia Phillies' inevitable downfall and the Brooklyn Robins' surprise early success. Fisher also points out that New York Yankees outfielders Babe Ruth and Bob Meusel had gotten off to slow starts.,Regular Season; Barnstorming; Pennant; Standings; Baseball; Major League Baseball; 1922 Major League Baseball Season,,,,New York Evening World,1922.04.15.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,New York Yankees; Philadelphia Phillies; Brooklyn Robins,Bob Meusel; Babe Ruth,,Outfielder,,National League; American League,,Cartoon,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-04-15/ed-1/seq-6/,Chronicling America (Library of Congress),1922 Major League Baseball Regular Season
coll004,1922_04_17_NYEW.pdf,,,AS IT SEEMS SOMETIMES,Thornton Fisher,1922-04-17,"In this cartoon, Thornton Fisher makes fun of the seeming randomness and bias of home plate umpires calling balls and strikes.",Baseball,,,,New York Evening World,1922.04.17.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,,,,Umpire,Out; Strikeout; Ball; Walk; Offense,,,Cartoon,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-04-17/ed-1/seq-18/,Chronicling America (Library of Congress),1922 Major League Baseball Regular Season
coll005,1922_04_18_NYEW.pdf,,,BASEBALL HASH,Thornton Fisher,1922-04-18,This cartoon respresents one of many Thornton Fisher drew that depict the current standings. At this point in the season: the New York Giants and St. Louis Cardinals were competing for first place in the National League; the New York Yankees were off to a slow start; both Philadelphia teams were doing better than expected; and the Pittsburgh Pirates and Detroit Tigers found themselves in last place.,Regular Season; Standings; Baseball; Major League Baseball; 1922 Major League Baseball Season,,,,New York Evening World,1922.04.18.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,New York Giants; St. Louis Cardinals; New York Yankees; Cleveland Indians; Philadelphia Phillies; Philadelphia Athletics; Pittsburgh Pirates; Detroit Tigers,,,,,National League; American League,,Cartoon,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-04-18/ed-1/seq-22/,Chronicling America (Library of Congress),1922 Major League Baseball Regular Season
coll006,1922_04_21_NYEW.pdf,,,AT THE YANKS' OPENING,Thornton Fisher,1922-04-21,The New York Yankees' opening day game at the Polo Grounds is depicted in this cartoon. The Yankees beat the Washington Senators 10-3.,Regular Season; Polo Grounds; First Pitch; Baseball; Major League Baseball; 1922 Major League Baseball Season,,,,New York Evening World,1922.04.21.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,New York Yankees; Washington Senators,Babe Ruth; Sad Sam Jones,John Francis Hylan,Outfielder; Starting Pitcher; Pitcher;,Run; Offense; Pitching,American League,1922-04-20 WSH @ NYY,Cartoon,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-04-21/ed-1/seq-30/,Chronicling America (Library of Congress),1922 Major League Baseball Regular Season
coll007,1922_05_02_NYEW.pdf,,,WHY NEW YORK CLUBS ARE IN PENNANT HUNT,Jim Nasium,1922-05-02,Jim Nasium depicts the star players of the New York Giants and New York Yankees in this cartoon. Along with the image of each player is a caption that states what each player was doing to contribute to their team's success.,Regular Season; Pennant; Baseball; Major League Baseball; 1922 Major League Baseball Season,,,,New York Evening World,1922.05.02.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,New York Giants; New York Yankees,Ralph Shinners; George Burns; Wally Schang; Irish Meusel; Bob Meusel; Bob Shawkey; George Kelley; Everett Scott,,Catcher; Starting Pitcher; First Baseman; Infielder; Shortstop; Outfielder; Pitcher,Defense; Offense; Pitching,National League; American League,,Cartoon,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-05-02/ed-1/seq-23/,Chronicling America (Library of Congress),1922 Major League Baseball Regular Season
coll008,1922_06_03_NYEW.pdf,,,THE GIANTS-BOSTON TEA PARTY,Thornton Fisher,1922-06-03,The Boston Braves' sweep of the New York Giants in early June is the subject of this cartoon. The Braves would go on to have the worst record in baseball in 1922 making this sweep particularly embarrassing for the Giants.,Regular Season; Sweep; 1921 World Series; 1921 New York Giants; Road Trip; Baseball; Major League Baseball; 1922 Major League Baseball Season,,,,New York Evening World,1922.06.03.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,New York Giants; Boston Braves; Brooklyn Robins,Wilbert Robinson; Babe Ruth,,Manager; Outfielder,Offense,National League; American League,1922-06-01 NYG @ BSN; 1922-06-02 NYG @ BSN; 1922-06-03 NYG @ BSN,Cartoon,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-06-03/ed-1/seq-6/,Chronicling America (Library of Congress),1922 Major League Baseball Regular Season
coll009,1922_06_15_NYEW.pdf,,,TAKE YOUR CHOICE,Thornton Fisher,1922-06-15,"Thornton Fisher depicts three stars of baseball in this cartoon including Babe Ruth of the New York Yankees, George Sisler of the St. Louis Browns, and Rogers Hornsby of the St. Louis Cardinals.",Regular Season; Tickets; Baseball; Major League Baseball; 1922 Major League Baseball Season,,,,New York Evening World,1922.06.15.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,New York Yankees; St. Louis Browns; St. Louis Cardinals,Babe Ruth; George Sisler; Rogers Hornsby,,Outfielder; First Baseman; Infielder; Second Baseman,Home Run; Offense; Defense,National League; American League,,Cartoon,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-06-15/ed-1/seq-24/,Chronicling America (Library of Congress),1922 Major League Baseball Regular Season
coll010,1922_06_21_NYEW.pdf,,,THE SAD AFFAIR OF OUR YANKS,Thornton Fisher,1922-06-21,"In this cartoon, Thornton Fisher expresses frustration with the New York Yankees' recent troubles. Babe Ruth was underperforming. The Detroit Tigers were threatening to overtake the Yankees for second place. A narrow 6-5 victory over the Cleveland Indians was all the Yankees had to be proud of in this moment.",Regular Season; Standings; Baseball; Major League Baseball; 1922 Major League Baseball Season,,,,New York Evening World,1922.06.21.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,New York Yankees; St. Louis Browns; Cleveland Indians; Detroit Tigers,Babe Ruth; Miller Huggins,,Outfielder; Manager,Offense,American League,1922-06-20 NYY @ CLE,Cartoon,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-06-21/ed-1/seq-20/,Chronicling America (Library of Congress),1922 Major League Baseball Regular Season
coll011,1922_07_24_NYEW.pdf,,,HOW TO GET EVENING WORLD FREE BASEBALL TICKETS,,1922-07-24,"This page announces a promotion from the New York Evening World. If your face was circled in these pictures taken at a baseball game at the Polo Grounds, the New York Evening World would give you free tickets to another baseball game at the Polo Grounds.",Regular Season; Promotion; Polo Grounds; New York Evening World; Tickets; Baseball; Major League Baseball; 1922 Major League Baseball Season,,,,New York Evening World,1922.07.24.1,"Image, Still Image",application/pdf,English,"Public Domain, for more information see ""Rights and Reproductions"" at https://chroniclingamerica.loc.gov/about/",,New York Yankees; Detroit Tigers; Boston Red Sox,,,,,,1922-07-21 DET @ NYY; 1922-07-23 BOS @ NYY,Photograph; Article,https://chroniclingamerica.loc.gov/lccn/sn83030193/1922-07-24/ed-1/seq-14/,Chronicling America (Library of Congress),1922 Major League Baseball Regular Season
